"_id","created_on","date_time","node_id","ppl_in","ppl_out"
"ObjectId(""5974cb7f901f02f00d005121"")","ISODate(""2017-07-24T00:14:00.000+08:00"")","1500828435656","111","0","0"
"ObjectId(""5974cbd2901f02f00d005128"")","ISODate(""2017-07-24T00:16:00.000+08:00"")","1500828518207","110","0","0"
"ObjectId(""5974cbfe901f023c0e00394c"")","ISODate(""2017-07-24T00:17:00.000+08:00"")","1500826042902","101","0","0"
"ObjectId(""5974cbfe901f022c0e0083a0"")","ISODate(""2017-07-24T00:17:00.000+08:00"")","1500828501075","101","0","0"
"ObjectId(""5974cbff901f02f00d00512a"")","ISODate(""2017-07-24T00:17:00.000+08:00"")","1500825742820","101","0","0"
"ObjectId(""5974cc00901f02e00d004c70"")","ISODate(""2017-07-24T00:17:00.000+08:00"")","1500827243122","101","0","0"
"ObjectId(""5974cc00901f02f00d00512b"")","ISODate(""2017-07-24T00:17:00.000+08:00"")","1500826342978","101","0","0"
"ObjectId(""5974cc00901f02e00d004c71"")","ISODate(""2017-07-24T00:17:00.000+08:00"")","1500827900908","101","0","0"
"ObjectId(""5974cc00901f02f00d00512c"")","ISODate(""2017-07-24T00:17:00.000+08:00"")","1500826643036","101","0","0"
"ObjectId(""5974cc01901f02f00d00512d"")","ISODate(""2017-07-24T00:17:00.000+08:00"")","1500826943075","101","0","0"
"ObjectId(""5974cc01901f02e00d004c73"")","ISODate(""2017-07-24T00:17:00.000+08:00"")","1500828201024","101","0","0"
"ObjectId(""5974cc66901f02f00d005133"")","ISODate(""2017-07-24T00:18:00.000+08:00"")","1500828666855","114","0","0"
"ObjectId(""5974cc6c901f02e00d004c79"")","ISODate(""2017-07-24T00:18:00.000+08:00"")","1500828673274","109","0","1"
"ObjectId(""5974cc93901f02f00d005136"")","ISODate(""2017-07-24T00:19:00.000+08:00"")","1500828712152","112","0","0"
"ObjectId(""5974ccab901f02f00d005139"")","ISODate(""2017-07-24T00:19:00.000+08:00"")","1500828735713","111","0","0"
"ObjectId(""5974cced901f022c0e0083aa"")","ISODate(""2017-07-24T00:21:00.000+08:00"")","1500828801208","101","0","0"
"ObjectId(""5974ccfe901f02f00d00513d"")","ISODate(""2017-07-24T00:21:00.000+08:00"")","1500828818239","110","0","0"
"ObjectId(""5974cd92901f02000e004d6e"")","ISODate(""2017-07-24T00:23:00.000+08:00"")","1500828967011","114","0","0"
"ObjectId(""5974cd99901f02e00d004c85"")","ISODate(""2017-07-24T00:23:00.000+08:00"")","1500828973320","109","0","0"
"ObjectId(""5974cdbf901f02e00d004c87"")","ISODate(""2017-07-24T00:24:00.000+08:00"")","1500829012295","112","0","0"
"ObjectId(""5974cdd7901f02e00d004c88"")","ISODate(""2017-07-24T00:24:00.000+08:00"")","1500829035752","111","0","0"
"ObjectId(""5974ce29901f02e00d004c8c"")","ISODate(""2017-07-24T00:26:00.000+08:00"")","1500829118361","110","0","0"
"ObjectId(""5974ceb3901f02e00d004c8f"")","ISODate(""2017-07-24T00:28:00.000+08:00"")","1500829101228","101","0","0"
"ObjectId(""5974cebd901f023c0e003961"")","ISODate(""2017-07-24T00:28:00.000+08:00"")","1500829267080","114","0","0"
"ObjectId(""5974cec5901f02e00d004c91"")","ISODate(""2017-07-24T00:28:00.000+08:00"")","1500829273432","109","0","0"
"ObjectId(""5974ceeb901f02040e005002"")","ISODate(""2017-07-24T00:29:00.000+08:00"")","1500829312347","112","0","0"
"ObjectId(""5974cf02901f022c0e0083b2"")","ISODate(""2017-07-24T00:29:00.000+08:00"")","1500829335799","111","0","0"
"ObjectId(""5974cf44901f023c0e00396c"")","ISODate(""2017-07-24T00:31:00.000+08:00"")","1500829401265","101","0","0"
"ObjectId(""5974cf55901f022c0e0083b8"")","ISODate(""2017-07-24T00:31:00.000+08:00"")","1500829418476","110","0","0"
"ObjectId(""5974cfea901f02040e00500c"")","ISODate(""2017-07-24T00:33:00.000+08:00"")","1500829567269","114","0","0"
"ObjectId(""5974cff1901f022c0e0083c1"")","ISODate(""2017-07-24T00:33:00.000+08:00"")","1500829573547","109","0","0"
"ObjectId(""5974d017901f022c0e0083c4"")","ISODate(""2017-07-24T00:34:00.000+08:00"")","1500829612413","112","0","0"
"ObjectId(""5974d02f901f02f00d005156"")","ISODate(""2017-07-24T00:34:00.000+08:00"")","1500829635943","111","0","0"
"ObjectId(""5974d081901f023c0e00397a"")","ISODate(""2017-07-24T00:36:00.000+08:00"")","1500829718482","110","0","0"
"ObjectId(""5974d0d2901f023c0e003983"")","ISODate(""2017-07-24T00:37:00.000+08:00"")","1500829701284","101","0","0"
"ObjectId(""5974d116901f02e00d004c99"")","ISODate(""2017-07-24T00:38:00.000+08:00"")","1500829867364","114","0","0"
"ObjectId(""5974d11e901f023c0e003987"")","ISODate(""2017-07-24T00:38:00.000+08:00"")","1500829873672","109","0","0"
"ObjectId(""5974d143901f02e00d004c9d"")","ISODate(""2017-07-24T00:39:00.000+08:00"")","1500829912465","112","0","0"
"ObjectId(""5974d15a901f02e00d004ca1"")","ISODate(""2017-07-24T00:39:00.000+08:00"")","1500829936017","111","0","0"
"ObjectId(""5974d172901f02e00d004ca4"")","ISODate(""2017-07-24T00:40:00.000+08:00"")","1500829207077","106","0","0"
"ObjectId(""5974d1ad901f022c0e0083d2"")","ISODate(""2017-07-24T00:41:00.000+08:00"")","1500830018543","110","0","0"
"ObjectId(""5974d242901f022c0e0083d9"")","ISODate(""2017-07-24T00:43:00.000+08:00"")","1500830167422","114","0","0"
"ObjectId(""5974d249901f02e00d004ca9"")","ISODate(""2017-07-24T00:43:00.000+08:00"")","1500830173787","109","0","0"
"ObjectId(""5974d270901f022c0e0083dd"")","ISODate(""2017-07-24T00:44:00.000+08:00"")","1500830212584","112","0","0"
"ObjectId(""5974d288901f02000e004d6f"")","ISODate(""2017-07-24T00:44:00.000+08:00"")","1500830236175","111","0","0"
"ObjectId(""5974d2d8901f02040e00501c"")","ISODate(""2017-07-24T00:46:00.000+08:00"")","1500830318727","110","0","0"
"ObjectId(""5974d32d901f02040e005021"")","ISODate(""2017-07-24T00:47:00.000+08:00"")","1500830001460","101","0","0"
"ObjectId(""5974d32d901f022c0e0083e0"")","ISODate(""2017-07-24T00:47:00.000+08:00"")","1500830301560","101","0","0"
"ObjectId(""5974d335901f02040e005023"")","ISODate(""2017-07-24T00:47:00.000+08:00"")","1500830107421","106","0","0"
